CPU,Disk,Network
0.068,0.0,255988.0
0.132,0.0,3226730.0
0.134,0.0,224082.0
0.066,0.0,247132.0
0.132,0.0,238059.0
0.134,0.0,248839.0
0.134,0.0,224071.0
0.066,0.0,236928.0
0.134,0.0,243858.0
0.132,0.0,245120.0
0.134,0.0,251672.0
0.066,0.0,3220620.0
0.136,0.0,249774.0
0.068,0.0,3213390.0
0.132,0.0,257850.0
0.132,0.0,240188.0
0.134,0.0,257911.0
0.134,0.0,235086.0
0.2,0.0,243701.0
0.066,0.0,244044.0
0.134,0.0,231573.0
0.134,0.0,243532.0
0.068,0.0,240454.0
0.132,0.0,3251260.0
0.066,0.0,238736.0
0.132,0.0,3239740.0
0.136,0.0,235562.0
0.066,0.0,240626.0
0.132,0.0,247963.0
0.134,0.0,226795.0
0.134,0.0,251630.0
0.066,0.0,224232.0
0.134,0.0,256887.0
0.132,0.0,237801.0
0.066,0.0,362671.0
0.134,0.0,3222900.0
0.134,0.0,258759.0
0.134,0.0,3224910.0
0.066,0.0,246360.0
0.134,0.0,240932.0
0.132,0.0,243533.0
0.066,0.0,261247.0
0.134,0.0,230275.0
0.134,0.0,339881.0
0.134,0.0,227804.0
0.068,0.0,242555.0
0.134,0.0,244851.0
0.068,0.0,3250750.0
0.132,0.0,249325.0
0.134,0.0,3274500.0
0.134,0.0,283687.0
0.066,0.0,258379.0
0.134,0.0,246106.0
0.134,0.0,280576.0
0.134,0.0,252687.0
0.066,0.0,231879.0
0.132,0.0,262455.0
0.134,0.0,252149.0
0.066,0.0,279481.0
0.134,0.0,3233780.0
0.134,0.0,271502.0
0.134,0.0,3220700.0
0.066,0.0,240858.0
0.134,0.0,261069.0
0.134,0.0,244989.0
0.132,0.0,481000.0
0.134,0.0,235286.0
0.068,0.0,254224.0
0.134,0.0,250720.0
0.132,0.0,257494.0
0.066,0.0,233894.0
0.134,0.0,3246910.0
0.134,0.0,278634.0
0.066,0.0,3918490.0
0.132,0.0,263208.0
0.132,0.0,200207.0
0.134,0.0,257217.0
0.134,0.0,519379.0
0.132,0.0,240185.0
0.068,0.0,242636.0
0.132,0.0,258694.0
0.132,0.0,235679.0
0.134,0.0,286345.0
0.066,0.0,3261670.0
0.134,0.0,265977.0
0.066,0.0,3244310.0
0.132,0.0,287114.0
0.136,0.0,249791.0
0.134,0.0,258317.0
0.068,0.0,264376.0
0.132,0.0,247026.0
0.132,0.0,259991.0
0.134,0.0,292481.0
0.134,0.0,1002760.0
0.132,0.0,236195.0
0.066,0.0,3279040.0
0.134,0.0,272351.0
0.132,0.0,3211510.0
0.134,0.0,260472.0
0.134,0.0,222967.0
0.066,0.0,265742.0
0.134,0.0,233810.0
0.2,0.0,251803.0
0.134,0.0,949974.0
0.066,0.0,244745.0
0.134,0.0,225958.0
0.136,0.0,248437.0
0.134,0.0,3243150.0
0.066,0.0,327555.0
0.134,0.0,3230800.0
0.134,0.0,243546.0
0.134,0.0,249660.0
0.134,0.0,248546.0
0.134,0.0,249705.0
0.134,0.0,246404.0
0.134,0.0,256637.0
0.066,0.0,239185.0
0.134,0.0,232288.0
0.134,0.0,252184.0
0.132,0.0,3232280.0
0.134,0.0,266277.0
0.134,0.0,3256130.0
0.066,0.0,246209.0
0.134,0.0,235662.0
0.134,0.0,277695.0
0.132,0.0,249218.0
0.132,0.0,305164.0
0.134,0.0,246120.0
0.132,0.0,237437.0
0.066,0.0,265308.0
0.132,0.0,248585.0
0.134,0.0,3245180.0
0.132,0.0,241909.0
0.134,0.0,3253080.0
0.068,0.0,262847.0
0.134,0.0,261045.0
0.134,0.0,267438.0
0.134,0.0,266667.0
0.134,0.0,235504.0
0.132,0.0,306849.0
0.204,0.0,243843.0
0.066,0.0,238067.0
0.132,0.0,251585.0
0.134,0.0,3218610.0
0.066,0.0,249952.0
0.134,0.0,3214260.0
0.134,0.0,244738.0
0.134,0.0,236009.0
0.066,0.0,243525.0
0.134,0.0,251869.0
0.134,0.0,247750.0
0.134,0.0,237585.0
0.132,0.0,232251.0
0.134,0.0,244425.0
0.134,0.0,246994.0
0.066,0.0,3224600.0
0.134,0.0,3231950.0
0.136,0.0,3230920.0
0.134,0.0,240758.0
0.066,0.0,247018.0
0.134,0.0,227611.0
0.134,0.0,240378.0
0.132,0.0,241621.0
0.134,0.0,237751.0
0.134,0.0,258200.0
0.134,0.0,226063.0
0.068,0.0,259598.0
0.134,0.0,3225870.0
0.066,0.0,253252.0
0.132,0.0,3227900.0
0.132,0.0,243886.0
0.066,0.0,222755.0
0.132,0.0,251731.0
0.134,0.0,232475.0
0.134,0.0,241836.0
0.134,0.0,247473.0
0.134,0.0,238192.0
0.132,0.0,248777.0
0.134,0.0,245535.0
0.134,0.0,3239170.0
0.066,0.0,248277.0
0.134,0.0,3240020.0
0.134,0.0,233162.0
0.134,0.0,231319.0
0.066,0.0,254581.0
0.132,0.0,234406.0
0.132,0.0,248665.0
0.134,0.0,241438.0
0.066,0.0,251713.0
0.136,0.0,228064.0
0.134,0.0,269810.0
0.134,0.0,3228730.0
0.132,0.0,267368.0
0.068,0.0,3211740.0
0.132,0.0,342062.0
0.134,0.0,248293.0
0.066,0.0,241611.0
0.132,0.0,255464.0
0.134,0.0,237297.0
0.134,0.0,240442.0
0.134,0.0,244156.0
0.066,0.0,252098.0
0.134,0.0,237622.0
0.134,0.0,3233770.0
0.134,0.0,238456.0
0.066,0.0,3234340.0
0.134,0.0,236182.0
0.066,0.0,235840.0
0.134,0.0,254726.0
0.136,0.0,232628.0
0.136,0.0,244211.0
0.134,0.0,233693.0
0.066,0.0,247003.0
0.134,0.0,239926.0
0.134,0.0,249384.0
0.134,0.0,3218600.0
0.066,0.0,255874.0
0.134,0.0,3217690.0
0.132,0.0,244198.0
0.066,0.0,237503.0
0.134,0.0,237900.0
0.134,0.0,250015.0
0.136,0.0,221923.0
0.066,0.0,254591.0
0.134,0.0,238493.0
0.134,0.0,242676.0
0.066,0.0,242609.0
0.134,0.0,3226930.0
0.134,0.0,250544.0
0.066,0.0,3219490.0
0.134,0.0,247572.0
0.134,0.0,228470.0
0.066,0.0,246320.0
0.132,0.0,226119.0
0.134,0.0,254107.0
0.134,0.0,236567.0
0.134,0.0,239116.0
0.066,0.0,244311.0
0.132,0.0,234522.0
0.068,0.0,3235740.0
0.132,0.0,246649.0
0.134,0.0,3253740.0
0.066,0.0,239080.0
0.134,0.0,247261.0
0.136,0.0,234844.0
0.068,0.0,268433.0
0.134,0.0,223453.0
0.134,0.0,253193.0
0.134,0.0,237735.0
0.066,0.0,244744.0
0.134,0.0,257369.0
0.134,0.0,3228480.0
0.134,0.0,269861.0
0.132,0.0,3229110.0
0.066,0.0,258234.0
0.134,0.0,232734.0
0.134,0.0,246155.0
0.198,0.0,243065.0
0.134,0.0,246028.0
0.134,0.0,242913.0
0.136,0.0,231682.0
0.132,0.0,255268.0
0.066,0.0,236532.0
0.132,0.0,3254540.0
0.066,0.0,248560.0
0.134,0.0,3252300.0
0.132,0.0,239375.0
0.068,0.0,253265.0
0.134,0.0,236362.0
0.134,0.0,244662.0
0.134,0.0,247065.0
0.134,0.0,238032.0
1.534,0.0,245684.0
0.134,0.0,238604.0
0.134,0.0,261043.0
0.066,0.0,3216100.0
0.134,0.0,260094.0
0.068,0.0,3244400.0
0.132,0.0,226337.0
0.134,0.0,252188.0
0.066,0.0,245393.0
0.132,0.0,241493.0
0.134,0.0,237706.0
0.134,0.0,245012.0
0.134,0.0,237909.0
0.068,0.0,253078.0
0.134,0.0,240168.0
0.132,0.0,3248870.0
0.066,0.0,250435.0
0.132,0.0,3256320.0
0.134,0.0,230605.0
0.066,0.0,254587.0
0.134,0.0,234093.0
0.134,0.0,241980.0
0.134,2423190.0,261849.0
0.134,2025060.0,242223.0
0.066,0.0,256740.0
0.134,0.0,236921.0
0.066,0.0,271067.0
0.134,0.0,3197710.0
0.134,0.0,260255.0
0.132,0.0,3242430.0
0.066,0.0,245469.0
0.132,0.0,251011.0
0.066,0.0,238685.0
0.134,0.0,241960.0
0.132,0.0,233066.0
0.134,0.0,283861.0
0.134,0.0,240062.0
0.068,0.0,257465.0
0.134,0.0,254978.0
0.066,0.0,3235440.0
0.134,0.0,255754.0
0.132,0.0,3227150.0
0.066,0.0,236078.0
0.134,0.0,388240.0
0.066,0.0,236777.0
0.132,0.0,227627.0
0.132,0.0,252311.0
0.134,0.0,242327.0
0.066,0.0,241642.0
0.134,0.0,248389.0
0.132,0.0,273570.0
0.068,0.0,3306410.0
0.134,0.0,262106.0
0.134,0.0,3242880.0
0.066,0.0,283567.0
0.134,0.0,273127.0
0.134,0.0,260175.0
0.134,0.0,251403.0
0.134,0.0,251817.0
0.132,0.0,273249.0
0.066,0.0,238988.0
0.134,0.0,275365.0
0.066,0.0,291390.0
0.132,0.0,3359020.0
0.134,0.0,399001.0
0.066,0.0,3561460.0
0.134,0.0,339291.0
0.134,0.0,390198.0
0.134,0.0,399884.0
0.066,0.0,372872.0
0.134,0.0,389524.0
0.134,0.0,1163670.0
0.132,0.0,397407.0
0.134,0.0,389204.0
0.066,0.0,404224.0
0.132,0.0,3360440.0
0.132,0.0,403175.0
0.066,0.0,3378150.0
0.134,0.0,373712.0
0.132,0.0,410708.0
0.068,0.0,378684.0
0.132,0.0,410979.0
0.134,0.0,391032.0
0.134,0.0,1190060.0
0.132,0.0,383999.0
0.066,0.0,399979.0
0.134,0.0,373990.0
0.132,0.0,3410280.0
0.066,0.0,422833.0
0.132,0.0,3391730.0
0.134,0.0,295161.0
0.066,0.0,254373.0
0.132,0.0,250735.0
0.132,0.0,236999.0
0.132,0.0,258318.0
0.132,0.0,233088.0
0.134,0.0,252988.0
0.068,0.0,256719.0
0.132,0.0,231652.0
0.134,0.0,3249070.0
0.134,0.0,245066.0
0.066,0.0,3243390.0
0.132,0.0,235817.0
0.132,0.0,253230.0
0.134,0.0,241075.0
0.068,0.0,254290.0
0.134,0.0,244568.0
0.134,0.0,259041.0
0.066,0.0,230913.0
0.132,0.0,240953.0
0.132,0.0,247442.0
0.066,0.0,3240880.0
0.132,0.0,272605.0
0.2,0.0,3272150.0
0.066,0.0,257701.0
0.134,0.0,237159.0
0.132,0.0,256000.0
0.066,0.0,236218.0
0.134,0.0,253981.0
0.134,0.0,240892.0
0.066,0.0,252041.0
0.132,0.0,252478.0
0.134,0.0,236178.0
0.068,0.0,3251640.0
0.134,0.0,252965.0
0.134,0.0,3240320.0
0.134,0.0,225659.0
0.066,0.0,262094.0
0.134,0.0,231789.0
0.132,0.0,259574.0
0.134,0.0,233080.0
0.066,0.0,241600.0
0.132,0.0,253511.0
0.134,20765900.0,240551.0
0.066,144332000.0,257501.0
0.134,50971400.0,3256150.0
0.134,32324000.0,268213.0
0.136,36864.0,3246770.0
0.066,0.0,270648.0
0.134,0.0,230839.0
0.132,0.0,263492.0
0.066,0.0,229821.0
0.132,0.0,239090.0
0.134,0.0,246163.0
0.134,20480.0,242103.0
0.066,0.0,261614.0
0.132,0.0,241194.0
0.134,0.0,3242430.0
0.134,0.0,243066.0
0.134,0.0,3243440.0
0.066,19998300.0,234794.0
0.134,50420100.0,245498.0
0.134,143207000.0,242056.0
0.134,30673300.0,229823.0
0.132,1707210.0,258120.0
0.134,0.0,230552.0
0.132,0.0,253045.0
0.066,0.0,230385.0
0.132,0.0,254403.0
0.134,0.0,3225830.0
0.066,0.0,259469.0
0.134,0.0,3225090.0
0.132,0.0,258436.0
0.068,20480.0,233808.0
0.134,42272400.0,241677.0
0.134,171071000.0,263112.0
0.134,1323830.0,266602.0
0.066,30998500.0,244229.0
0.132,9011.2,238705.0
0.134,0.0,256480.0
0.068,0.0,225990.0
0.134,0.0,3241060.0
0.132,20005700.0,251275.0
0.134,128258000.0,4206500.0
0.068,64879800.0,2271640.0
0.134,32754900.0,240582.0
0.134,958464.0,246508.0
0.066,0.0,244466.0
0.134,0.0,262520.0
0.134,883917.0,239397.0
0.132,0.0,241457.0
0.134,0.0,244122.0
0.132,20480.0,258265.0
0.132,0.0,3239530.0
0.066,0.0,267842.0
0.134,0.0,3222240.0
0.134,0.0,265767.0
0.134,19713200.0,236695.0
0.068,45541000.0,242795.0
0.134,147862000.0,258097.0
0.136,30829000.0,235499.0
0.134,1992290.0,252357.0
0.132,0.0,236301.0
0.134,0.0,282313.0
0.134,0.0,211838.0
0.066,0.0,3248880.0
0.134,0.0,242114.0
0.136,0.0,3241200.0
0.134,0.0,245429.0
0.066,0.0,230041.0
0.134,0.0,247600.0
0.134,0.0,235212.0
0.134,0.0,260300.0
0.066,0.0,230071.0
0.134,0.0,264085.0
0.134,0.0,237271.0
0.134,0.0,261323.0
0.134,19932000.0,3237250.0
0.066,50339800.0,254862.0
0.132,143106000.0,3247370.0
0.134,30512700.0,225190.0
0.066,1884160.0,250940.0
0.134,0.0,230978.0
0.132,0.0,262319.0
0.134,0.0,235497.0
0.132,1237810.0,248283.0
0.136,45692500.0,243400.0
0.132,166403000.0,249711.0
0.134,30100700.0,243717.0
0.134,2324890.0,3241720.0
0.134,0.0,255955.0
0.066,0.0,3221100.0
0.20199999999999999,0.0,253793.0
0.136,0.0,242207.0
0.134,0.0,244641.0
0.068,20120400.0,245782.0
0.132,143003000.0,249634.0
0.134,50407000.0,232768.0
0.134,32454200.0,253386.0
0.066,24576.0,243175.0
0.134,0.0,236034.0
0.066,0.0,3240990.0
0.132,0.0,247113.0
0.132,0.0,3222490.0
0.134,0.0,240165.0
0.068,0.0,251737.0
0.134,0.0,226327.0
0.066,0.0,256926.0
0.134,0.0,236917.0
0.134,0.0,252376.0
0.134,0.0,259127.0
0.134,0.0,219037.0
0.134,0.0,241918.0
0.134,0.0,3232520.0
0.066,0.0,266012.0
0.134,0.0,3209930.0
0.2,0.0,253948.0
0.134,0.0,239276.0
0.066,0.0,251676.0
0.134,0.0,239299.0
0.132,0.0,255742.0
0.136,0.0,213700.0
0.068,0.0,238498.0
0.134,0.0,259419.0
0.134,0.0,240198.0
0.132,0.0,3248830.0
0.066,0.0,237509.0
0.134,0.0,3244010.0
0.068,0.0,236972.0
0.132,0.0,256938.0
0.066,0.0,236136.0
0.134,0.0,256729.0
0.132,0.0,234670.0
0.134,0.0,234200.0
0.134,0.0,253754.0
0.068,0.0,237412.0
0.132,0.0,250319.0
0.132,0.0,3215960.0
0.068,0.0,292090.0
0.132,0.0,3224360.0
0.134,0.0,236701.0
0.066,0.0,227057.0
0.132,0.0,257728.0
0.134,0.0,239293.0
0.132,0.0,235845.0
0.134,0.0,251200.0
0.066,0.0,237458.0
0.134,0.0,247151.0
0.134,0.0,232946.0
0.132,0.0,3243070.0
0.068,0.0,248976.0
0.132,0.0,3242090.0
0.134,0.0,241318.0
0.066,0.0,258786.0
0.134,0.0,242851.0
0.134,0.0,233124.0
0.132,0.0,260257.0
0.066,0.0,237194.0
0.132,0.0,241907.0
0.134,0.0,223401.0
1.3980000000000001,0.0,265658.0
0.134,0.0,3226760.0
0.134,0.0,269071.0
0.134,0.0,3234160.0
0.066,0.0,247154.0
0.134,0.0,239909.0
0.066,0.0,251001.0
0.134,0.0,245427.0
0.134,0.0,245271.0
0.134,0.0,243777.0
0.134,0.0,229951.0
0.066,0.0,261331.0
0.134,0.0,238705.0
0.134,0.0,3235200.0
0.134,0.0,238669.0
0.068,0.0,3238220.0
0.132,0.0,241383.0
0.134,0.0,242915.0
0.066,0.0,242803.0
0.134,0.0,252122.0
0.198,0.0,245866.0
0.134,0.0,244874.0
0.134,0.0,259231.0
0.134,0.0,237485.0
0.132,0.0,251142.0
0.066,0.0,3266010.0
0.134,0.0,268978.0
0.132,0.0,3219550.0
0.134,0.0,250667.0
0.134,0.0,226590.0
0.068,0.0,250937.0
0.132,0.0,257391.0
0.134,0.0,239186.0
0.134,0.0,265730.0
0.134,0.0,244336.0
0.066,0.0,273484.0
0.134,0.0,260826.0
0.134,0.0,3212430.0
0.134,0.0,250041.0
0.068,0.0,3229480.0
0.134,0.0,252372.0
0.134,0.0,228633.0
0.136,0.0,253911.0
0.134,0.0,255604.0
0.134,0.0,252911.0
0.134,0.0,240502.0
0.134,0.0,251820.0
0.132,0.0,244606.0
0.068,0.0,258127.0
0.132,0.0,3241530.0
0.066,0.0,268252.0
0.132,0.0,3224900.0
0.134,0.0,249406.0
0.066,0.0,247141.0
0.134,0.0,251762.0
0.066,0.0,249979.0
0.134,0.0,246418.0
0.134,0.0,251186.0
0.134,0.0,244801.0
0.066,0.0,253899.0
0.134,0.0,238998.0
0.134,0.0,3246630.0
0.068,0.0,268530.0
0.134,0.0,3231320.0
0.132,0.0,238892.0
0.132,0.0,236885.0
0.134,0.0,257800.0
0.132,0.0,247053.0
0.134,0.0,259031.0
0.134,0.0,235208.0
0.066,0.0,255852.0
0.132,0.0,239466.0
0.134,0.0,241280.0
0.132,0.0,3238610.0
0.132,0.0,247743.0
0.132,0.0,3247390.0
0.066,0.0,263945.0
0.134,0.0,223067.0
0.134,0.0,242767.0
0.068,0.0,255704.0
0.134,0.0,239505.0
0.132,0.0,257739.0
0.134,0.0,238905.0
0.066,0.0,232952.0
0.132,0.0,253479.0
0.132,0.0,3228590.0
0.068,0.0,258699.0
0.132,0.0,3238250.0
0.134,0.0,248249.0
0.2,0.0,244941.0
0.134,0.0,260855.0
0.068,0.0,229059.0
0.134,0.0,252070.0
0.132,0.0,250179.0
0.136,0.0,234909.0
0.068,0.0,262628.0
0.134,0.0,244432.0
0.134,0.0,3253610.0
0.066,0.0,249921.0
0.134,0.0,3234240.0
0.066,0.0,245451.0
0.134,0.0,257676.0
0.132,0.0,254384.0
0.134,0.0,258928.0
0.132,0.0,225973.0
0.068,0.0,248062.0
0.134,0.0,252026.0
0.132,0.0,239174.0
0.134,0.0,271910.0
0.066,0.0,3240900.0
0.134,0.0,265367.0
0.134,0.0,3232380.0
0.066,0.0,267969.0
0.132,0.0,245214.0
0.134,0.0,259969.0
0.134,0.0,241839.0
0.134,0.0,248567.0
0.068,0.0,251078.0
0.134,0.0,245016.0
0.134,0.0,262516.0
0.134,0.0,243620.0
0.134,0.0,3262360.0
0.066,0.0,251770.0
0.132,0.0,3255880.0
0.068,0.0,246521.0
0.134,0.0,257255.0
0.132,0.0,253634.0
0.134,0.0,239959.0
0.20199999999999999,0.0,252233.0
0.066,20234200.0,232607.0
0.2,145088000.0,268876.0
0.2,48295100.0,237627.0
0.066,32855700.0,248714.0
0.134,47513.6,3239780.0
0.134,0.0,264484.0
0.132,0.0,3221170.0
0.134,0.0,257621.0
0.066,0.0,243913.0
0.134,0.0,252722.0
0.20199999999999999,0.0,250845.0
0.134,0.0,237929.0
0.132,0.0,262630.0
0.134,0.0,229879.0
0.134,0.0,251109.0
0.066,0.0,244945.0
0.134,0.0,3258040.0
0.132,0.0,239235.0
0.066,0.0,3255800.0
0.132,0.0,233708.0
0.132,0.0,241161.0
0.134,0.0,262493.0
0.20199999999999999,0.0,236477.0
0.2,0.0,260941.0
0.132,0.0,240957.0
0.134,0.0,238547.0
0.066,0.0,250110.0
0.134,0.0,266236.0
0.136,0.0,3233970.0
0.066,0.0,252152.0
0.134,965018.0,3236800.0
0.132,9011.2,253102.0
0.132,0.0,237171.0
0.066,0.0,244675.0
0.134,0.0,236178.0
0.132,0.0,243647.0
0.134,0.0,253757.0
0.134,0.0,247602.0
0.132,0.0,250890.0
0.134,0.0,248602.0
0.134,0.0,3255100.0
0.134,0.0,248113.0
0.132,0.0,3284780.0
0.068,0.0,260754.0
0.132,0.0,219839.0
0.132,0.0,254068.0
0.066,0.0,229355.0
0.2,1398370.0,257058.0
0.068,49897500.0,262446.0
0.134,164610000.0,1240180.0
0.134,30857600.0,2271080.0
0.134,2166780.0,259978.0
0.134,0.0,3230890.0
0.132,0.0,248757.0
0.066,0.0,3258180.0
0.136,0.0,228558.0
0.134,0.0,267060.0
0.134,0.0,241959.0
0.132,0.0,273871.0
0.134,0.0,239560.0
0.068,19704200.0,266201.0
0.134,41853700.0,248236.0
0.134,151925000.0,252657.0
0.134,30825700.0,251742.0
0.134,2163510.0,3236980.0
0.068,0.0,268579.0
0.132,0.0,3319490.0
0.134,0.0,266101.0
0.068,0.0,243991.0
0.134,0.0,251850.0
0.134,20083500.0,251105.0
0.204,192370000.0,257054.0
0.066,869171.0,250622.0
0.134,32636900.0,253562.0
0.136,24576.0,250469.0
0.132,0.0,240984.0
0.132,0.0,3257310.0
0.134,0.0,243435.0
0.066,0.0,3244700.0
0.132,0.0,251797.0
0.134,0.0,242999.0
0.134,0.0,253667.0
0.132,0.0,245419.0
0.134,0.0,238899.0
0.132,0.0,264696.0
0.134,0.0,249501.0
0.134,0.0,232831.0
0.134,0.0,267964.0
0.066,0.0,3249990.0
0.134,0.0,259527.0
0.134,0.0,3238240.0
0.132,0.0,260225.0
0.132,0.0,239487.0
0.066,0.0,249820.0
0.2,0.0,243441.0
0.134,0.0,252087.0
0.066,0.0,249695.0
0.20199999999999999,0.0,241480.0
0.134,0.0,260207.0
0.134,0.0,251933.0
0.132,0.0,3240240.0
0.134,0.0,252160.0
0.134,0.0,3247100.0
0.132,0.0,242626.0
0.132,0.0,258707.0
0.134,0.0,231018.0
0.132,0.0,261194.0
0.134,0.0,235631.0
0.136,0.0,249281.0
0.066,0.0,256689.0
0.198,0.0,238528.0
0.068,0.0,262248.0
0.134,0.0,3240490.0
0.134,0.0,251283.0
0.066,0.0,3227320.0
0.132,0.0,256052.0
0.134,0.0,226626.0
0.068,0.0,256158.0
0.132,0.0,242633.0
0.14,0.0,243717.0
0.132,0.0,251162.0
0.068,0.0,240877.0
0.134,0.0,261025.0
0.134,0.0,245658.0
0.132,0.0,3252100.0
0.066,0.0,236063.0
0.134,0.0,3239200.0
0.132,0.0,237628.0
0.134,0.0,259796.0
0.132,0.0,251316.0
0.134,0.0,242875.0
0.134,0.0,254477.0
0.066,0.0,248382.0
0.134,0.0,246525.0
0.134,0.0,240007.0
0.134,0.0,269959.0
0.134,0.0,3233790.0
0.066,0.0,256958.0
0.132,0.0,3221950.0
0.132,0.0,255516.0
0.068,0.0,241014.0
0.132,0.0,244072.0
0.134,0.0,257380.0
0.134,0.0,244383.0
0.134,0.0,257467.0
0.066,0.0,247320.0
0.134,0.0,253115.0
0.134,0.0,247766.0
0.134,0.0,3236930.0
0.066,0.0,240256.0
0.2,0.0,3255640.0
0.134,0.0,250895.0
0.134,0.0,226420.0
0.134,0.0,267511.0
0.134,0.0,237518.0
0.134,0.0,249753.0
0.134,0.0,255457.0
0.134,0.0,246707.0
0.066,0.0,238203.0
0.134,0.0,266068.0
1.534,0.0,3224110.0
0.066,0.0,288656.0
0.134,0.0,3221660.0
0.134,0.0,252607.0
0.068,0.0,240767.0
0.134,0.0,237554.0
0.132,0.0,260285.0
0.134,0.0,238979.0
0.134,0.0,258649.0
0.068,0.0,229923.0
0.134,0.0,253306.0
0.134,0.0,254196.0
0.132,0.0,3250310.0
0.136,0.0,245628.0
0.132,0.0,3228560.0
0.066,0.0,258316.0
0.134,0.0,238328.0
0.132,0.0,253330.0
0.066,0.0,238631.0
0.198,0.0,250253.0
0.066,0.0,240730.0
0.134,0.0,257320.0
0.132,0.0,243771.0
0.132,0.0,275431.0
0.134,0.0,3241840.0
0.066,0.0,252521.0
0.132,0.0,3247290.0
0.134,0.0,230172.0
0.134,0.0,257449.0
0.132,0.0,247812.0
